recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,LCS-Puro,5,7,0.009237412460485258,0.004098912111545314,0.0043429485197694065,0.03306621033402086,0.025455973385481483,0.03769586263487262,0.06752805184419036,0.0387135189551
Dominance,LCS-Puro,5,10,0.012317458517309643,0.0048844975728445095,0.004852956957879538,0.041273817884455784,0.033655521308960636,0.06002561235605396,0.07442364136281829,0.07066407734921241
Dominance,LCS-Puro,5,0,0.002880995581817486,0.0017867205733593078,0.001454236202602827,0.01584359000987152,0.022027375047567115,0.016469377675384762,0.0336934419615579,0.03210658999281057
Dominance,LCS-Puro,60,2,0.0012612165466496176,0.0020408163265306124,8.575910913580061E-4,0.0057911844229149925,0.007807566946315017,0.008567828804420374,0.008419720354209941,0.004569326413296965
Dominance,LCS-Puro,60,5,0.001990762001195072,0.0023639719866361503,0.008647377939915636,0.014521082970046936,0.009946993644823371,0.009931619558141298,0.019358481133571658,0.03759970691507009
Dominance,LCS-Puro,60,7,0.002041314612239665,0.0030906363162729617,0.008873000155639466,0.01531131466913628,0.01252178544414265,0.015268388984027853,0.024364500103506298,0.046646334830483284
Dominance,LCS-Puro,60,10,0.002456271750357933,0.004752672496601487,0.00949391351988698,0.02869863718979187,0.034751856337290755,0.04176902201993935,0.058403797856928286,0.05136782125140419
Dominance,LCS-Puro,60,0,0.0018577047567290635,0.002766031208022784,0.008695547573559975,0.01244699240461031,0.011764756518371746,0.011702440869876434,0.01285600979024463,0.027120563063562426
Dominance,LCS-Puro,8,2,8.794244739793919E-5,0.0011999455392760633,3.041886697222473E-4,0.006185640073968879,0.002729413724337851,0.011068048664941122,0.008447512898702915,0.004040872520866358
Dominance,LCS-Puro,8,5,1.768114367784522E-4,0.0026537190720917875,0.0017262932473494608,0.01706366165881633,0.010257858342344755,0.01839239507108259,0.03236802879663281,0.01904416932388097
