recommender,similarity,neighbor_size,rec_size,Temporal-6-1-2,Temporal-6-2-3,Temporal-6-3-4,Temporal-6-4-5,Temporal-6-5-6,accum
Dominance,LCS-Puro,40,5,4.592569786535304E-4,8.960573476702509E-4,4.3914901893180925E-4,4.2417065799473316E-4,2.931248797820876E-4,0.0025117588830324113
Dominance,LCS-Puro,40,7,0.0020501995543395182,9.309686729041568E-4,5.371305983948701E-4,8.725609368934866E-4,2.931248797820876E-4,0.00468398464231412
Dominance,LCS-Puro,40,10,0.004072853276022366,0.0022750546944095332,6.774224053533438E-4,0.0012761121879023647,2.931248797820876E-4,0.008594567443469696
Dominance,LCS-Puro,40,0,3.7422296504808816E-4,0.0,1.357108499965643E-4,0.0010202836772519846,3.679749333663445E-4,0.0018981924256629816
Dominance,LCS-Puro,50,2,0.0011288998357963877,6.400409626216078E-5,3.69530528260687E-4,0.0,1.0460251046025105E-4,0.0016670369707794863
Dominance,LCS-Puro,50,5,0.0012067087371347006,9.600614439324116E-4,5.610580346030082E-4,0.0,1.2921486586266306E-4,0.002857043081532783
Dominance,LCS-Puro,50,7,0.0037004840250276353,0.0036482334869431645,5.610580346030082E-4,0.0014124293785310734,1.4258259882882934E-4,0.009464787523933711
Dominance,LCS-Puro,50,10,0.008635363959907572,0.0050789264498941914,6.211830947280682E-4,0.002984103245818101,5.534598903257239E-4,0.01787303664067366
Dominance,LCS-Puro,50,0,0.001473367124627629,0.004227179630405436,7.558578987150416E-5,1.0366454154356503E-4,4.899906085591998E-4,0.006369787695007335
Dominance,LCS-Puro,5,2,9.92063492063492E-4,1.783070136676202E-4,7.590073066263542E-4,9.817232769870185E-4,0.0,0.002911101089344485
Dominance,LCS-Puro,5,5,0.0034606708160530098,0.003808884198193637,0.0018061854371378182,0.0010818459641451174,0.0,0.010157586415529583
Dominance,LCS-Puro,5,7,0.003607643185247601,0.003920891366652419,0.0018061854371378182,0.003918803887938426,1.0460251046025105E-4,0.013358126387436515
Dominance,LCS-Puro,5,10,0.004285891661376195,0.0067904606317336046,0.0023793776769967245,0.003936464844080236,1.0460251046025105E-4,0.017496797324647012
Dominance,LCS-Puro,5,0,0.0013797571497734897,0.0029128268505233864,0.0016408415217939029,7.95218626539661E-4,1.0695601750218145E-4,0.0068356001661326205
Dominance,LCS-Puro,60,2,0.0011288998357963877,0.0014080901177675371,4.410305997607585E-4,0.0,1.0460251046025105E-4,0.0030826230637849344
Dominance,LCS-Puro,60,5,0.0014341999493693248,0.005440348182283666,5.610580346030082E-4,0.0,1.0460251046025105E-4,0.00754020867671625
Dominance,LCS-Puro,60,7,0.0014341999493693248,0.00548669597612868,5.610580346030082E-4,1.4361858359681403E-4,1.2921486586266306E-4,0.0077547874095604905
Dominance,LCS-Puro,60,10,0.011553247568416943,0.005521607301362585,6.908015853991905E-4,1.4361858359681403E-4,6.910591856129865E-4,0.01860033422438852
Dominance,LCS-Puro,60,0,0.0011288998357963877,0.00409626216077829,1.1967750062988158E-4,2.088359697560089E-4,3.862383732687321E-4,0.005939913840229301
Dominance,LCS-Puro,8,2,0.00496031746031746,1.783070136676202E-4,9.763164525069287E-5,1.3200274565710966E-5,1.0460251046025105E-4,0.005354058904261735
Dominance,LCS-Puro,8,5,0.0065320773722029775,0.0029274364811919225,9.794658604182413E-4,3.038252976683813E-4,1.0460251046025105E-4,0.010847407521941773
Dominance,LCS-Puro,8,7,0.006679049741397569,0.0030394436496507045,9.794658604182413E-4,3.7683601629132866E-4,1.0460251046025105E-4,0.011179397778218093
Dominance,LCS-Puro,8,10,0.006756858642735882,0.005874101589497984,0.0014203829680020155,5.878718347259834E-4,1.0460251046025105E-4,0.014743817545422115
Dominance,LCS-Puro,8,0,0.005683260160173052,3.3666197597141456E-4,1.652896152075134E-4,2.8130505114506386E-4,4.142673681594101E-5,0.0065079435393129844
Dominance,LCS-R,10,2,0.0011160714285714285,3.491132523390588E-5,9.763164525069287E-5,1.6688328337886705E-4,3.21853878339234E-4,0.0017373515607741283
Dominance,LCS-R,10,5,0.001371173469387755,5.218990141851292E-4,0.0011437290965769023,5.145761601595605E-4,3.21853878339234E-4,0.0038732316186485816
Dominance,LCS-R,10,7,0.0019356233872859488,6.199424242418875E-4,0.0011437290965769023,5.258755951878092E-4,3.558709549116734E-4,0.004581041458204221
Dominance,LCS-R,10,10,0.0022292521656581393,0.0015159997719121385,0.0011437290965769023,5.80462237836353E-4,3.558709549116734E-4,0.005825314226895207
Dominance,LCS-R,10,0,0.0016236235873659808,1.739547067689448E-4,1.7779839208410635E-4,7.402264198750103E-4,3.7844039927984905E-4,0.0030940435053738915
Dominance,LCS-R,15,2,0.0011904761904761904,0.0,7.558578987150416E-5,0.0,0.0,0.0012660619803476945
Dominance,LCS-R,15,5,0.0016865079365079364,5.989948574100047E-4,9.574200050390527E-4,8.472681929327053E-5,3.21853878339234E-4,0.003649503496589498
Dominance,LCS-R,15,7,0.001754926108374384,0.0015413999989252686,0.0011216832411977135,1.0070952804274938E-4,0.0024139040875442545,0.00693262296408437
Dominance,LCS-R,15,10,0.004167496074632493,0.0015413999989252686,0.0011437290965769023,2.53414193281323E-4,0.0024139040875442545,0.00951994345096024
Dominance,LCS-R,15,0,0.0017215219421101774,2.2817761277160612E-4,1.1152609191824879E-4,1.8428267572103189E-4,3.5479955092513986E-4,0.002600307873446204
Dominance,LCS-R,20,2,0.0,4.6347793845012975E-5,7.558578987150416E-5,1.3200274565710966E-5,0.0,1.351338582822281E-4
Dominance,LCS-R,20,5,6.944444444444444E-4,2.4366177126490518E-4,1.4708586137157566E-4,6.008880605154543E-5,8.815028689505678E-4,0.0020267837520830385
Dominance,LCS-R,20,7,0.0021003111759816738,2.4366177126490518E-4,5.518493380304771E-4,6.653825526858229E-5,0.0029735530781555886,0.005935913618701227
Dominance,LCS-R,20,10,0.0022472835451762653,9.797088782797542E-4,0.0010490537359440948,0.0010235103342008675,0.0031088898968653213,0.008408446390466303
Dominance,LCS-R,20,0,0.0010059270621828977,8.50045407403825E-4,3.181821717391974E-4,4.064454064454065E-4,7.769003584903166E-4,0.003357500406261643
Dominance,LCS-R,25,2,0.0,4.6347793845012975E-5,7.558578987150416E-5,1.3200274565710966E-5,0.0,1.351338582822281E-4
Dominance,LCS-R,25,5,1.984126984126984E-4,0.002427614253253853,7.558578987150416E-5,1.3200274565710966E-5,5.011301036405639E-4,0.0032159431197443305
Dominance,LCS-R,25,7,0.0011904761904761904,0.0033236716009241037,8.423122335353894E-5,1.3200274565710966E-5,0.002593180312845585,0.007204759602165129
Dominance,LCS-R,25,10,0.002937473526301919,0.0033236716009241037,1.4051851368338246E-4,1.8955508565971532E-4,0.0026065480458117513,0.00919776677238087
Dominance,LCS-R,25,0,0.001342828798185941,0.0022939068100358423,1.5573129485361046E-4,1.7198073975677487E-4,0.002472422974515025,0.006436870617347193
Dominance,LCS-R,30,2,0.0,0.0013904338153503894,7.558578987150416E-5,0.0,0.0,0.0014660196052218935
Dominance,LCS-R,30,5,2.7622159975101155E-4,0.003211664432465322,7.558578987150416E-5,0.0,3.803727653100038E-4,0.0039438445873978415
Dominance,LCS-R,30,7,0.001336703263680951,0.0042734923894545696,8.423122335353894E-5,0.0,3.955325494346779E-4,0.006089959425923737
Dominance,LCS-R,30,10,0.0014836756328755426,0.0042734923894545696,1.4051851368338246E-4,0.0013172801386143011,3.955325494346779E-4,0.007610499224062473
Dominance,LCS-R,30,0,3.045662709528256E-4,0.0021625880608083054,1.459823998684102E-4,3.790490499099747E-4,5.198070268822431E-4,0.0035119928084217595
Dominance,LCS-R,40,2,0.004611258083480305,3.8402457757296467E-4,7.558578987150416E-5,4.035512510088781E-4,0.0,0.005474419701933652
